strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,1,3,1,2,9.754904382160266e-10,9.899677852353328e-07,6.10488696295037e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,2,3,9.584344842924371e-10,6.519652425742491e-07,6.473223426655103e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,3,4,9.589956286040782e-10,8.061092538759682e-07,4.524240587839835e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,5,6,9.754728364962019e-10,-6.268936224253424e-07,-5.694249200136455e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,6,7,9.754728364962019e-10,-8.011568010677911e-07,-5.744804915244963e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,7,8,9.743468386401306e-10,-1.2011677781487826e-06,-5.856234611450406e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,3,8,9,9.737574680856008e-10,-1.4221694595802044e-06,-7.430690912529263e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,4,0,1,8.248786111760564e-10,1.2525491316907595e-06,5.351706679477888e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,
PR8,1,4,1,2,8.263244715469512e-10,1.1398816174666097e-06,5.143292761055091e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,
PR8,1,4,2,3,8.092225783595064e-10,2.962165172891757e-07,6.378302070469764e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,4,3,4,8.096879162423999e-10,1.0824129150165823e-06,4.7615434863246365e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
